Gene_ID	TCGA-13-1485	TCGA-29-1697	TCGA-59-2352	TCGA-24-1435	TCGA-29-1698	TCGA-29-2427	TCGA-24-1431	TCGA-36-2537	TCGA-36-2545	TCGA-29-1705	TCGA-24-1474	TCGA-25-2409	TCGA-25-1623	TCGA-13-1500	TCGA-25-1322	TCGA-25-2404	TCGA-29-1766	TCGA-36-1578	TCGA-24-1557	TCGA-36-1571	TCGA-29-1769	TCGA-29-1702	TCGA-29-1762	TCGA-13-1409	TCGA-30-1891
A1BG	4.9889021637528	4.1953441806998	5.3325549272478	4.7189098044358	4.9657014099307	4.7284058997758	4.9175176137403	5.7523383699858	5.0056049532838	5.1108045667798	6.0639645527868	4.3381003381568	5.5517415355728	5.0912245340118	4.9616355343334	5.1779555036538	5.1152014764978	4.5429273096978005	5.3606913177298	5.3038521245718	4.6737799789308	4.6083531735138	5.3504323230518	4.6631325564198	4.6273470035718
A2M	4.8195791307669005	3.7613850854967996	4.6871144839358	5.2628377921698	4.8523845220159	5.3627240624608	5.2260242177598	5.9684281259568	5.2656278445018	5.1031018946068	5.9128501644468	4.5696391080068	5.3546523349828	5.2951216228708	4.5957957503738	4.89369274364537	5.0917715384828	4.3227178206568	5.1975523337518	4.7455722044438	4.6243788668168	5.4244212611748	5.2252217053128	4.4598153759308	4.4268346662528
AAAS	4.7452504418128	4.7096474307748	4.88760980140084	4.7906986168956	4.8206434822535	4.5811214809878	5.0380046185138	5.0271442004848	4.7020034640618		5.1556432175998	4.5666678521328	3.7678073389268	4.7704401173338	4.8425623850759	4.7318152416408	4.8606650882862	4.8769860059677	5.0952237402468	5.0547408276638	4.8379044331453	5.1021303736178	4.9884020447964	5.0595147861308	4.9987639940608
AACS	4.8312711828862	5.8015945167858	4.7309650770578004	4.3291148599328	4.6626010799578	4.7215908230188	5.2795555333638005	4.5272537486618	5.5425085842048	5.1346846424208	4.1802888289918005	4.6140748486848	5.0654358402048	4.6086496004918	4.6690260534158	4.8501566969601	5.1867413377908	4.6493036791188	4.7714333179438	5.3699942389358	4.88257421672573	4.1717189684078	5.5652331319488	4.4990788270738005	4.7136301977728
AAK1	4.7866216402598	4.6731561689588	4.8150178906846	4.9624715781924	4.9132985482077	4.88241377765294	5.2555814041238005	4.7916219513685	5.1420895653868	4.9861804237131	4.9595850705699	5.5318817700018	4.7829303724178	4.5744058682438	4.7031615626488	4.5468971003947996	4.7350025143368	5.1096860506568	4.6308734296748	4.5783919133978	4.8809979301687	4.9568791219006	4.2737479482228	5.2011076673348	5.0414213116118
AAMDC	4.89570327050892	4.4564134835488005	4.5359552438438	4.8005510839638	4.7516469114348	4.7998856109891	5.3824727112298	4.5151178403498005	4.4594835625578	4.7775183759378	4.0646693957808	5.1689195248088	4.9639238492998	4.5784258738278	5.7589141091128	4.808288315536	4.3549453031368	5.3502628797708	4.7792154341168	4.2770481965778	4.7804044327118	5.3727729684798	5.0846850971998	5.2899814385448	5.1451235712818
AAMP	4.6858058911158	5.1910149037208	4.793851813052	4.6414012930138	5.0270100005038	4.8413428149058	4.6753974314628	5.2791900526828	4.7133642784348	5.0185106995478	4.5126351289968	4.5782794262848	4.8095084690237	4.8476065188248	4.9743076721574	4.8432598432821	5.2997321037278	4.9736398211545	5.2695189301918	4.7037966945408	4.4817259974798	4.7265647334238	4.5470063460278	5.1308975022578	4.6642223513888
AAR2	4.8609523530449	5.0659109495078	5.2822654371628	4.8003307203338	5.1070486314248	4.9555540422411	4.8575558054479	5.4085056960488	4.5916598959738		4.4581253520498	4.88430841378242	4.7601208036618	4.5680427970338	5.0081482301958005	5.0465624814738	5.1481044633198	4.7745765612648	5.0843724942478	5.0489328917918	4.88563568947961	5.2221161025868	4.9042094544947	4.7970501879639	4.4589068147628
AARS	4.9296360888656	5.1764396227758	4.6008409705007995	4.7095460058058	4.8246226086637	4.9461587686119	5.3165193557898	4.8768509565195	5.0319377339388	4.7513586277688	4.9599564038065	5.0264295356868	4.7880578660658	4.7907915401888	4.6645943999318	4.9059565607709	4.6761565563618	4.6491766448788	5.0951248536068	5.3249414412408	5.0105019605048	4.8382507214219	4.9598485004792	5.2862582952048	4.82159573651
AARS2	4.9009092834261	4.5588032882748	4.8349375174606	4.5228885043828	5.0290130194798	4.9515435288959	4.6918234551088	4.8402143372872	4.9930895684038	4.0274939292298	5.0865195053688	5.1363134162328	6.0497570502868	4.9804897948397	4.5819915039048	4.8400292601017	4.9106003209755	5.2412363863718	4.9243645684389	4.6341029721338	4.3832391384348	5.4509906683428	4.7680591243748	4.7578327930228	4.7519419661258
