Gene_ID	TCGA-61-1741	TCGA-61-2094	TCGA-23-1121	TCGA-13-2061	TCGA-24-1430	TCGA-36-1577	TCGA-29-1710	TCGA-29-1771	TCGA-36-2544	TCGA-13-2065	TCGA-61-2088	TCGA-30-1887	TCGA-29-1711	TCGA-25-1631	TCGA-25-1313	TCGA-13-1410	TCGA-25-2397	TCGA-29-1785	TCGA-13-1492	TCGA-61-1727	TCGA-24-1565	TCGA-29-1696	TCGA-13-2066	TCGA-13-1488	TCGA-13-1511
A1BG	4.5653387574548	5.1328825366868	4.88699945586723	4.7964632359174	5.0088064355908	0.0	0.0	5.3800096876128	5.1971259919648	0.0	4.6259258679288	0.0	4.6590691381558	5.3542712958148	5.1905791276548	4.8592204195818	4.7071045582358	4.9348029840831	4.2358030664538	0.0	4.5679422986618	5.1429422408428	4.5612504344458	4.8221137497682	4.6652177859898
A2M	4.7273802035238	0.0	5.0581095617848	4.4523073458658	5.1099372959508	5.7385219041988	5.4072951537988	0.0	5.0568755372398	0.0	4.3829271769708	5.2617824458168	4.9341653489225	5.6320649295548	4.6511634230008	5.2976526407848	4.7342349808988	4.8736652009993	4.4494996521148	5.0121615440668	5.2086217931688	5.2624126051088	4.7082072554228	5.2214209422398	4.8028336660165
AAAS	5.1328759975008005	0.0	5.2922317600188	5.3501432185368	4.6052048026198005	5.5939102015658	4.7827020844718	0.0	0.0	0.0	5.5353216704718005	0.0	4.6700864192338	4.7753436259098	4.5546528992028	4.8651658468219	4.9333064042414	4.6363034283708	5.1450711609758	4.6007160596448	0.0	5.0405741407868	5.2792414681108	4.8453282367962	4.7452504418128
AACS	4.7140979107958	5.0316630289488	4.1287641851058	4.4164363143708	5.1780135383848	5.3315466720918	4.5687992958588	4.5665620524768	4.6371785410598	4.2429120465728	5.3811643345978	5.0651405539478	4.5509511838278	0.0	4.3808348819058	0.0	5.2907968457638	5.1178102414948	4.4437874574988	5.1684234094878	4.8692663971967	5.0579638141988	0.0	0.0	0.0
AAK1	4.7544634798248	5.0419148826768	4.7156638924978	4.6242909578828	4.7313326280528	4.5308094673708	0.0	0.0	4.7747726839058	4.7954118900474	4.7553186087078	4.6438084455798	5.5074076687208	4.8082010583468	4.5400500903628	5.7632205338298	5.5287469394328	4.6562926063538	4.4909498769158	0.0	4.5123357770618	4.4455036746228	4.9116885666957	4.7786118707448	4.9968272913968
AAMDC	5.1520366587238	5.1494889669908	4.5576841314418	0.0	4.5379569800238	0.0	4.6574052663698	4.4523470176648	4.5609641227328	5.3912171025448	4.3190796249848	0.0	4.6505595971168	0.0	4.88478833255981	4.3103896473638	5.5902940922698	4.6830263186728	5.7301791757698	4.1908681025018	5.1843814141938	5.0109616906498005	4.8424496151079	0.0	5.2906477483378005
AAMP	5.1509779072498	4.7258867453928	4.3310742766358	4.6229784049488	4.9309995351525	5.1167001478708	4.7219732193198	5.1117262018718	5.4578331850028	4.7415811064928	5.2078217088388	4.7317077840058	4.3294467396878	5.0617207056088	4.6180010602328	5.0406629460808	4.7563165651528	4.9717993675774	4.7096655215538	5.1454611202988	0.0	5.6483565597478	4.5960473450898	4.7307407049628	4.5446738803748
AAR2	0.0	4.7253140853718	5.0463354548128	5.5764751254918	4.8736690958828	5.4587815823748	4.8299202825111	4.4217190137498	4.5695063046668	4.7601208036618	5.0454213624928	4.7491252109758	4.3767190754058	0.0	4.9423224979537	5.0532788407778	4.6461741677228	4.9267124129406	5.6620535341838	5.1457270064608	5.0629110247128	4.5029982949238	5.3707591573868	5.1175104150338	4.7315725249898
AARS	4.7073649948768	5.5362177508978	4.6261190392008	4.7258868297908	4.9113364751547	5.1211417272248	4.9080772514253	5.0279271705068	4.9993160647848	4.6048514240908	5.0498337544188	4.5988480234578	5.2764161966928	5.0727590155958	4.7642047342958	0.0	5.0701371963588	4.6963454775438	4.5204759918848	4.7723450798848	4.6866938610218	4.5762230513908	4.7263337886618	5.0560293085638	0.0
AARS2	5.4458873501998	4.7065322431428	4.6296903236548	4.5019238158448	4.6478439362038	5.2322901819068	5.0201846234418		0.0	0.0	5.7509020456788	0.0	0.0	5.0675711779368005	0.0	5.4945522759588	4.7052615039888	4.9667625582042	5.3158921062178	4.8402143372872	5.3852159668558			0.0	4.4966463100848
