Gene_ID	TCGA-13-1487	TCGA-29-1693	TCGA-29-1770	TCGA-61-2008	TCGA-13-2060	TCGA-24-1103	TCGA-25-1329	TCGA-25-1323	TCGA-61-1907	TCGA-61-1910	TCGA-36-1569	TCGA-24-1436	TCGA-61-1915	TCGA-13-1507	TCGA-24-2290	TCGA-61-2087	TCGA-24-2030	TCGA-61-1914	TCGA-24-2261	TCGA-13-1404	TCGA-13-1482	TCGA-29-1690	TCGA-36-2530	TCGA-24-1553	TCGA-09-1664
A1BG	4.6035706314708005	4.8761845762025	5.2827001381718	5.8154596650828	4.5768715626888	4.6590691381558	5.1800470182318	5.8368299286318	4.5558317634198	4.4236546104058	5.1001834761998	5.0438008324488	4.799027814697	4.5275347356668	4.5320500816478	4.2921788973408	4.9261437941599	4.6215074668148	4.6312351462318	4.4415275240378005	4.8398543184446	5.6452663572978	4.5131648555218	5.0828217486478	5.4029229324148
A2M	4.0586239732858	4.9194903082334	5.2770616430378	4.9640191887265	4.1075653864858	4.7836221451008	5.0535083062578	5.0503861102578	4.8028336660165	4.5416625093658	5.0692542290768	4.9623429246133	5.2442505620268	4.3713816063638	4.8691339096922	4.4837351849348	5.7204380169558	4.7355480437018	4.7710474503648	4.6040464179668	4.8657458293019	5.4028280535288005	4.0741711572368	4.7080229739528	5.2296247166338
AAAS	5.0712971937788	4.7491471133998004	4.8508711750888	4.8087063839264	5.0447994036618	4.8052446931934	4.9233033126214	4.9037320682588	5.1287214177228	4.9495442799377	4.8218908039011	5.0011714727328	5.1693465515818	4.859136792321	4.8651658468219	4.9772712113849	5.0581451403818	4.6766926340898	5.0909810560148	4.9121039600366	4.88573836023908	4.6343311707708	4.922014969963	4.8176265794423	4.8511340597658
AACS	4.5128693978708	5.4621706334298	4.9291408493975	4.5124753739268	4.4990788270738005	5.6151195473418	4.7278796271888	5.3699942389358	4.9049124055668	4.9103057311253	3.9925127223978	5.2880914101168	5.2421783192408	4.9446747447279	5.5082467820588	4.9159767648652	4.7484154876498	5.3080280266548	5.0651405539478	4.2674401671948	4.1673676931728	4.9547211594781	5.1946156177548	4.5163071560418	4.7853877293528
AAK1	4.7269720558288	4.8198619969552	4.9002870546127	4.7447847287118	4.9674929323194	4.4197052482898	5.1706952459078	4.8515565323788	4.2737479482228	4.6693504368478	5.0236457444138	5.4474927039148	4.9013180571462	4.7775757228138	5.2841038594708	4.5043025632668	4.8993766193112505	4.7797297028118	4.8375216034723	4.6076804437368	5.1393325533568	4.3953337995008	4.8213957171738	5.2048974667808	4.6034196508018
AAMDC	5.2983488649908	4.9035974807608	4.9877101625857	4.8940338704151705	4.7500889249638	5.1993042968188	5.0515162201008	5.0515162201008	4.6619829141638	4.2290180336828005	5.0410074873518	4.7990438257809	4.7709004499358	4.8175916891546	4.6850319070948	5.0706141110488	4.4071451336597995	4.2940278586318	4.7258220952528	5.2572721013258	4.7402501939638	4.4116896148118	4.8503336054041	5.5902940922698	4.6544352667628
AAMP	4.3294467396878	4.8089444569443	4.9316917744905	4.5558924782558	5.0270100005038	5.4039242782148005	5.1198076551578	5.0629168134538	5.4578331850028	5.3691067117648	4.6414012930138	5.1485405203668	4.9043778393372	5.2610154898698	4.5928556875588	4.5429410741118	5.2997321037278	4.6786541697468	4.7205742263498	4.4363900133598	4.9844256331215	4.8715383359198	4.9743076721574	4.8580212249899	4.8515121391533
AAR2	4.7516820630848	4.7307400193348	4.87993551938637	4.972132904086	5.1248888533068	4.873551939519849	5.1340632445848	5.1544123386118	5.2221161025868	5.1070486314248	5.0250461134078	5.2969382704208	4.9538044200118	5.0697041469768	5.0949004796768005	4.947685983294	4.8518343966997		5.0919315181288	4.9057448448724	4.8543252343212	4.7464130453988	5.2975865538348	4.89348690662216	5.1545984081868
AARS	4.6866938610218	4.960263744417	5.5912400485608	4.6490840669138	4.9909307264818	4.7013172331748	4.5026703763148	4.7863634246528	4.9279027999076	4.6635672059718	4.5988480234578	5.0560293085638	5.0305567380888	4.9367477888601	5.2554713161028	4.9754977661942	4.3374139998028	5.2629729359268	4.7264220981148	4.9115886937908	4.6877764151498	4.7136792753968	4.7889968474468	4.889977173124066	4.88821731382551
AARS2	4.7429956716708	4.88296418528564	5.0558771621178	4.7171916497078	5.0389275459178	5.0301328447648	4.5532183868628	5.0853204648668004	4.7970974823832	5.1947616237088	4.9073564610038	4.2781718475958	5.2767032253858	4.6556767288918	6.0497570502868	5.0578233828718	4.9243645684389	5.0272723871618	4.9009092834261	4.7929823200825	4.8794625770589	4.9467147793961	4.8498068398818	4.88088541744029	4.7524834875938
AARSD1	4.6036326607358	4.8114011947348	5.0559244001938	4.7490385374268	4.6898963198408	4.9262703023655	4.7635830609048	5.2916900385278	4.8690408815313	4.9972785382668	5.1900246676388	4.9736983577315	4.8317125408585	4.7133607213458	4.8030748897748	5.0511795730588	5.5418501610788	4.8564563347334	5.0716207231958	4.7204069925828	4.5790918899258	5.1164663684838	4.6767612836318	4.6080608831188	4.8481321699547
AASDHPPT	5.1989730701468	5.4021796044138	4.824690423643	5.2817516630048	4.7914048223262	5.2308716300508	4.5673862628158	4.89084173934162	4.9458707201655	4.4668632807458	4.8233378855762	4.9565372221507	5.2409193701008	5.1669347124238	4.5087072989878	4.6901287479168	4.5400846914138	5.1998648764518	4.5532175493388	5.1059858289218	4.6821840943948	4.9038516298658	5.2157592223378	4.834030861299	4.859242185985
AASS	4.2145634912438	4.9942766870678	4.3790785920248	4.6239724340618	5.6618389707488	6.0659625660868	4.7582554604518	4.8422156691397	4.9317183048039	4.4325509801558	5.1808132964738		5.1646905479618	4.954362939022	4.4800098058308	4.8998741480668	4.5515623769708	4.6682254435448	5.0640695611068	4.9912893630388	5.872238838946799		4.6604586697978	4.6249519554328	5.3003272292008
AATF	4.6036894705228	4.1282086939888	4.7389706587438	5.2610728969378	5.1397285803608	4.6455463775208	4.8277934283853	5.3192467199908	5.4202639680868	5.8030528809818	4.6935988113598	4.7419873703058	4.8086814330453	4.5866957383738	5.1167298060568	4.4163179923858	4.9229901767681	5.0590565241828	4.8050167584578	4.8258217277852005	4.89291764716951	4.4694030873978	4.8778815045554	5.0668100847468	5.1416725163148005
ABAT	4.0829063883768	4.2129114288298	4.1268288841608	4.3966854594708	4.3640875362048	4.1011990158888	4.3919257465728	4.3389065214208	5.3878499730598	4.0357170522288	4.4585118896008	4.4160972963648	4.6282485897618	5.3089801307838	3.4058299694668	3.4385667338368	3.9737312095698	4.2248157412108	4.6098228596238	4.3632920193358	4.5853043508188	3.6715479786068	4.2004540615868	4.4025931198678	4.8252416662842
ABCA1	4.7952000612983	5.0118673818968	4.0843872538578	4.89363487392038	4.8442431811121	4.4592820343648	5.4366763351138	4.6834920981308	4.8357608124027	4.8512979155385	4.7070841059638004	5.5867109830778	5.2659773058338	5.0944921811028	5.2756756661018	4.4845460022098	5.0016995713168	5.0621401715388	4.7597073042648	4.7509470829578	5.7265515255818	4.9265910845398	4.7713415575318	5.0676594985108	4.4741387349838
