Gene_ID	TCGA-13-1487	TCGA-29-1693	TCGA-29-1770	TCGA-61-2008	TCGA-13-2060	TCGA-24-1103	TCGA-25-1329	TCGA-25-1323	TCGA-61-1907	TCGA-61-1910	TCGA-36-1569	TCGA-24-1436	TCGA-61-1915	TCGA-13-1507	TCGA-24-2290	TCGA-61-2087	TCGA-24-2030	TCGA-61-1914	TCGA-24-2261	TCGA-13-1404	TCGA-13-1482	TCGA-29-1690	TCGA-36-2530	TCGA-24-1553	TCGA-09-1664
A1BG	4.6035706314708005	4.8761845762025	5.2827001381718	5.8154596650828	4.727737276775601	4.804232893730674	5.1800470182318	5.8368299286318	4.5558317634198	4.4236546104058	5.1001834761998	5.0438008324488	4.799027814697	4.5275347356668	4.5320500816478	4.2921788973408	4.9261437941599	4.6215074668148	4.6312351462318	4.4415275240378005	4.8398543184446	5.6452663572978	4.603503926040841	5.0828217486478	5.4029229324148
A2M	4.0586239732858	4.9194903082334	5.2770616430378	4.9640191887265	4.1075653864858	4.7836221451008	5.0535083062578	5.273438278428348	4.586476938300949	4.5416625093658	5.0692542290768	4.9623429246133	5.2442505620268	4.3713816063638	4.8691339096922	4.4837351849348	5.7204380169558	4.7355480437018	4.7710474503648	4.6040464179668	4.8657458293019	5.4028280535288005	4.857371060047194	4.7080229739528	5.2296247166338
AAAS	5.0712971937788	4.761587094097652	4.8508711750888	4.8087063839264	5.0447994036618	4.8052446931934	4.9233033126214	4.9037320682588	5.1287214177228	4.9495442799377	4.8218908039011	4.831205098387387	5.1693465515818	4.859136792321	5.008503673613884	4.9772712113849	5.0581451403818	4.6766926340898	5.0909810560148	4.9121039600366	4.726837579768719	4.6343311707708	4.922014969963	4.8176265794423	4.8511340597658
AACS	4.5128693978708	5.007769387234845	4.9291408493975	4.635211239633634	5.099247144948011	5.6151195473418	4.7278796271888	4.907202590426064	4.9049124055668	4.9103057311253	3.9925127223978	5.2880914101168	5.2421783192408	4.9446747447279	5.5082467820588	4.9159767648652	4.883937900543763	5.3080280266548	5.063380609322124	4.2674401671948	4.1673676931728	4.9547211594781	5.1946156177548	4.5163071560418	4.7853877293528
AAK1	4.7269720558288	4.8198619969552	4.9002870546127	4.7447847287118	4.9674929323194	4.4197052482898	5.1706952459078	4.8515565323788	4.2737479482228	4.6693504368478	5.0236457444138	5.4474927039148	4.9013180571462	4.7775757228138	5.2841038594708	4.5043025632668	4.8993766193112505	4.7797297028118	4.8375216034723	4.6076804437368	5.1393325533568	4.3953337995008	4.8213957171738	5.2048974667808	4.6034196508018
AAMDC	5.2983488649908	4.9035974807608	4.9877101625857	4.8940338704151705	4.7500889249638	5.1993042968188	4.726473708785322	4.9053523839815405	4.6619829141638	4.2290180336828005	5.0410074873518	4.7990438257809	4.7709004499358	4.8175916891546	4.6850319070948	5.0706141110488	4.4071451336597995	4.2940278586318	4.7258220952528	5.2572721013258	4.7402501939638	4.4116896148118	4.8503336054041	5.20557280036545	4.6544352667628
AAMP	4.8668625712360605	4.8089444569443	4.9316917744905	4.5558924782558	4.978492905030994	5.4039242782148005	5.1198076551578	5.0629168134538	5.029232007450363	5.3691067117648	4.869634389694304	5.1485405203668	4.9043778393372	5.2610154898698	4.5928556875588	4.5429410741118	4.7393994754139115	4.6786541697468	4.7205742263498	4.4363900133598	4.9844256331215	4.8715383359198	4.869234066479792	4.8580212249899	4.8515121391533
AAR2	4.938714130325098	4.7307400193348	4.87993551938637	4.972132904086	5.1248888533068	4.934385341040672	5.1340632445848	5.1544123386118	4.938362064861122	4.924433660741773	5.0250461134078	5.2969382704208	4.9538044200118	5.0697041469768	5.0949004796768005	4.947685983294	4.8518343966997		5.0919315181288	4.9057448448724	4.8543252343212	4.7464130453988	5.2975865538348	4.89348690662216	5.1545984081868
AARS	4.855548658386771	4.960263744417	5.5912400485608	4.6490840669138	4.9909307264818	4.7013172331748	4.5026703763148	4.7863634246528	4.9279027999076	4.6635672059718	4.893379502901699	4.932505033076354	5.0305567380888	4.896851821242139	5.2554713161028	4.9754977661942	4.3374139998028	4.967498675035785	4.7264220981148	4.8725059651775275	4.881306476756474	4.7136792753968	4.7889968474468	4.889977173124066	4.9482348697943195
AARS2	4.7429956716708	4.88296418528564	5.0558771621178	4.7171916497078	5.0389275459178	5.0301328447648	4.5532183868628	5.0853204648668004	4.7970974823832	5.1947616237088	4.9641351673316105	4.2781718475958	5.2767032253858	4.6556767288918	4.936407710390335	5.0578233828718	4.9243645684389	5.0272723871618	4.9638826767999555	4.7929823200825	4.8794625770589	4.9467147793961	4.8498068398818	4.88088541744029	4.7524834875938
