Gene_ID	TCGA-24-1422	TCGA-24-1555	TCGA-25-1312	TCGA-24-1548	TCGA-09-2056	TCGA-24-1464	TCGA-23-1122	TCGA-36-2542	TCGA-24-2298	TCGA-13-1504	TCGA-59-2372	TCGA-61-1911	TCGA-36-2532	TCGA-29-1768	TCGA-13-1483	TCGA-61-1918	TCGA-24-1920	TCGA-24-2289	TCGA-13-2059	TCGA-24-2024	TCGA-24-1544	TCGA-59-2348
A1BG	4.8542677089454	5.151947706553839	5.0017425725658	4.877662992606167	4.6444494889028	5.4136979372308005	5.365697643514276	4.6952530647108	4.840165273965	4.5530566771348	4.8616621027062	4.915591173436	4.6119928022488	5.9883439932268	4.8735564632685	5.1117941007938	4.5768715626888	5.032170173186478	5.2933305504778	4.5369855116818	5.8433350384758	4.924014048039829
A2M	5.1951783078838	5.0291017347798	4.5928983376838	4.0083678920678	5.022065243032271	5.818558064440801	5.4262020451428	5.02561277742543	4.6257887522298	4.3991592443118	4.5339178303498	5.4761695540088	5.3100018283968	6.5779535050868	4.3819162073408	4.921807258761179	4.850999076054485	5.3546523349828	4.7480149549568	4.3527324563778	5.566301266487571	5.1258178367828
AAAS	4.860348043818376	5.2181716199938	5.162908875635977	4.7722124328388	5.1550635451888	4.915344908669502	4.893048292474977	4.7940088561644	4.9252443493355	4.5588563563308	5.1874711042508	4.7815008838188	5.0276107237475856	4.9199349154901	4.7169016881038	4.994611298075912	5.0812745114808004	4.6417814478858	4.4822772163508	4.7491471133998004	4.8743238194758	4.6978092935208
AACS	4.8226668423579	4.7455782648028	5.2513562315658	5.341828328642623	5.4272690314548	4.804552033504366	4.922818465296004	4.906549340616427	5.067473489845365	5.0002453058428	4.3434619526338	4.890460655943802	4.9933319471208	4.2344856041108	4.2425799543818	5.0542516904138	4.4493433201638	4.5124753739268	5.0367617038748	4.6643645915658	4.759660422017234	6.0436778079068
AAK1	5.1371500990918	4.6074865006078	5.1933341917838	4.9454875727967	5.1422472548288	4.612371356391005	4.5744058682438	5.0119271241498	5.0054488672848	5.2187656168498	4.2914020288878	5.00198319548327	5.0730424040198	4.7843759025238	4.6469666193038	5.0158203639318	4.9429370234313135	4.6806563177828	5.3186270425018005	4.9801883964214	4.4397834838928	5.0737244701008
AAMDC	5.0331051909678	4.5376538844868	5.1638028438028	4.89444880651599	3.8258888753668	4.5350305332228	4.850688491748759	4.9257772320053	6.0839931899968	4.7002638951368	5.0230657573243755	5.3180063164868	5.2118869112158	4.88739589766803	5.1111663789688	4.9532379086155895	5.0639248436438	4.6691210496958	4.889279883820479	5.2650144606278	4.683062846844777	5.3712362562798
AAMP	4.799915711925719	5.0417832527358	4.7515340277378	5.0969769386948	5.0095792318768	5.2695189301918	4.796994513243	4.6171859033828	4.6919535381928	5.0511486409768	4.975270023691	5.0116348020018	4.7981063596164	4.9220484733119	4.89392645216798	4.9323125008005	5.0991242354718	4.3791361921578	4.898851903584251	5.0270100005038	5.0346168550208	4.6368480534788
AAR2	4.6053038731668	4.7327334082328	5.0424937332828	5.0536457416848	4.8000850996568	4.9362348477929	5.1913710985808	4.888936350184529		4.9071831678424	5.117574020467005	4.910172253644983	4.864263120495892	5.2097121961708	4.8249541569347	4.888292218185766	4.9733443107181	4.745211388468882	4.7189968280108	4.823419168423		4.9384823181579
AARS	4.8060767911998	4.9367477888601	5.1275025381378	5.2919376292048	5.5994004986838	4.715434667891004	4.6276366712518	4.4940607164948	4.955299274078342	4.874253775103995	5.6059672136978005	4.9115886937908	5.059840424891059	5.0489698467038	4.8262052047249	5.3716180288208	4.988283089426157	4.826862957444537	5.0958698134368	5.1110165878568	5.1795976592928	5.4691296167888
AARS2	4.9642646719479	5.001713738013615	4.9348578103889	4.9764687207047	4.4221408066268	5.1202144607158	4.9382755243503	4.7014982478488	4.4731631159148	4.672490167541827	5.1580759130758	4.6741711326198	5.2185437829108	5.0880523221168	4.8525035427478	4.9603213959527	5.1260708644568	5.1386170708098	4.9857456716108	4.8478431181164	5.1906987707118	5.1033984936338
