Gene_ID	TCGA-24-1422	TCGA-24-1555	TCGA-25-1312	TCGA-24-1548	TCGA-09-2056	TCGA-24-1464	TCGA-23-1122	TCGA-36-2542	TCGA-24-2298	TCGA-13-1504	TCGA-59-2372	TCGA-61-1911	TCGA-36-2532	TCGA-29-1768	TCGA-13-1483	TCGA-61-1918	TCGA-24-1920	TCGA-24-2289	TCGA-13-2059	TCGA-24-2024	TCGA-24-1544	TCGA-59-2348
A1BG	4.9364413966326595	4.9364413966326595	5.0017425725658	4.9364413966326595	4.6444494889028	5.4136979372308005	4.9364413966326595	4.6952530647108	4.840165273965	4.5530566771348	4.8616621027062	4.915591173436	4.6119928022488	5.9883439932268	4.8735564632685	5.1117941007938	4.5768715626888	4.9364413966326595	5.2933305504778	4.5369855116818	5.8433350384758	4.9364413966326595
A2M	5.1951783078838	5.0291017347798	4.5928983376838	4.0083678920678	4.9391218824368	5.818558064440801	5.4262020451428	4.9391218824368	4.6257887522298	4.3991592443118	4.5339178303498	5.4761695540088	5.3100018283968	6.5779535050868	4.3819162073408	4.9391218824368	4.9391218824368	5.3546523349828	4.7480149549568	4.3527324563778	4.9391218824368	5.1258178367828
AAAS	4.894408810775745	5.2181716199938	4.894408810775745	4.7722124328388	5.1550635451888	4.894408810775745	4.894408810775745	4.7940088561644	4.9252443493355	4.5588563563308	5.1874711042508	4.7815008838188	4.894408810775745	4.9199349154901	4.7169016881038	4.894408810775745	5.0812745114808004	4.6417814478858	4.4822772163508	4.7491471133998004	4.8743238194758	4.6978092935208
AACS	4.8226668423579	4.7455782648028	5.2513562315658	4.862632517854147	5.4272690314548	4.862632517854147	4.862632517854147	4.862632517854147	4.862632517854147	5.0002453058428	4.3434619526338	4.890460655943802	4.9933319471208	4.2344856041108	4.2425799543818	5.0542516904138	4.4493433201638	4.5124753739268	5.0367617038748	4.6643645915658	4.862632517854147	6.0436778079068
AAK1	5.1371500990918	4.6074865006078	5.1933341917838	4.9454875727967	5.1422472548288	4.842624363300738	4.5744058682438	5.0119271241498	5.0054488672848	5.2187656168498	4.2914020288878	4.842624363300738	5.0730424040198	4.7843759025238	4.6469666193038	5.0158203639318	4.842624363300738	4.6806563177828	5.3186270425018005	4.9801883964214	4.4397834838928	5.0737244701008
AAMDC	5.0331051909678	4.5376538844868	5.1638028438028	4.89444880651599	3.8258888753668	4.5350305332228	4.853888242841779	4.9257772320053	6.0839931899968	4.7002638951368	4.853888242841779	5.3180063164868	5.2118869112158	4.88739589766803	5.1111663789688	4.853888242841779	5.0639248436438	4.6691210496958	4.889279883820479	5.2650144606278	4.853888242841779	5.3712362562798
AAMP	4.862555147587318	5.0417832527358	4.7515340277378	5.0969769386948	5.0095792318768	5.2695189301918	4.796994513243	4.6171859033828	4.6919535381928	5.0511486409768	4.975270023691	5.0116348020018	4.7981063596164	4.9220484733119	4.89392645216798	4.9323125008005	5.0991242354718	4.3791361921578	4.862555147587318	5.0270100005038	5.0346168550208	4.6368480534788
AAR2	4.6053038731668	4.7327334082328	5.0424937332828	5.0536457416848	4.8000850996568	4.9362348477929	5.1913710985808	4.888936350184529		4.9071831678424	4.9493739433231925	4.9493739433231925	4.9493739433231925	5.2097121961708	4.8249541569347	4.9493739433231925	4.9733443107181	4.9493739433231925	4.7189968280108	4.823419168423		4.9384823181579
AARS	4.8060767911998	4.9367477888601	5.1275025381378	5.2919376292048	5.5994004986838	4.897600106591792	4.6276366712518	4.4940607164948	4.897600106591792	4.897600106591792	5.6059672136978005	4.9115886937908	4.897600106591792	5.0489698467038	4.8262052047249	5.3716180288208	4.897600106591792	4.897600106591792	5.0958698134368	5.1110165878568	5.1795976592928	5.4691296167888
AARS2	4.9642646719479	4.893197655021313	4.9348578103889	4.9764687207047	4.4221408066268	5.1202144607158	4.9382755243503	4.7014982478488	4.4731631159148	4.893197655021313	5.1580759130758	4.6741711326198	5.2185437829108	5.0880523221168	4.8525035427478	4.9603213959527	5.1260708644568	5.1386170708098	4.9857456716108	4.8478431181164	5.1906987707118	5.1033984936338
AARSD1	5.0163017757828	4.9128674498776	4.7183108079028	4.6324887353848	4.9936008936058	4.913688721545677	4.913688721545677	5.0651735599878	5.2916900385278	4.7910770233499	4.9213231581953	4.8531639478496	4.7216961464688	4.913688721545677	4.7968753600592	4.8765860983767	4.87970172832615	5.0559244001938	5.0784214738898	5.0444069385118	4.9705457059277	4.7744995267768005
AASDHPPT	4.9565372221507	4.9458707201655	5.1899298046888	4.7987689789554	4.4962664165038	4.9489991616781	4.7604771070728	5.1097620517258004	4.941431544771365	4.941431544771365	5.2156321328158	4.5043387065838	4.9350507729759	4.5516484906918	5.1036920361038	4.9738918537663	4.9750135071629	5.0068635606798	4.8393082409404	5.2011526171638	4.6895822963318	3.7385476061968
AASS	5.6829116734368	5.1556463582788	4.4493324231798	5.3893007155688	4.2799507401088	4.6006127767778	5.0162884988648	5.5829055354248	4.9643614684212	4.5760111493698	5.3362972805638	4.4452605081168		5.2193646873698	4.3044379486898	4.9282334956746	5.5446881049208	4.9943212156438		5.8311264766648	5.3668256945858	5.4729890671818
AATF	5.1723329817828	5.4202639680868	4.9674817442455	4.871202024814375	5.1543654874118	5.1220959215638	4.4017789403578	5.1089709671738	4.8075593873529	4.5695319657658	4.7953283091635	4.7252092947538	5.2014959327768	4.1374150733838	4.871202024814375	4.871202024814375	4.9642292700483	5.0031145295388	5.1567779662838	4.5767855831948	4.7014256491058	4.4675095559108
ABAT	5.6466239980088	5.2695784228948	4.1944861752928	5.5483954027188	5.5519682395398	4.3866573345918	4.478616786357267	5.6252558773128	4.478616786357267	4.7449278120648	5.9948564322268005	4.3791563080508	4.0476244757408	3.9040832691368	4.88606130969695	4.6282485897618	4.6836994621698	4.2129114288298	5.5312908585728	4.1423295901298	5.1126323470758	4.478616786357267
ABCA1	5.2601216824708	4.905246761077	4.2922600895058		4.6297209480138	4.957744878409721	4.9041070908105	4.957744878409721	5.1847444205428	4.9114571466103		5.1138220145128	4.7278802152878	4.6528625507448	5.3142478153488	4.93057423234	4.6001616999168	4.4920739797458005	4.0843872538578	4.7676176091928	5.1306796096298	4.7187517998228
ABCB10	4.3884595503358	5.0518756968958	4.5794833006818	4.79870662209	5.2167666587068	4.8293674690084	5.0093855600648	5.3310269969408	4.5159583496828	4.7346308844378004	4.4605993575048	5.2078303787338	4.944216245633995	5.5915595173748	4.8396870999422	5.2541655794718	5.1814212258768	5.3276832056098	4.9876310909312	4.8463559133155	5.1901735833538	4.8314184979258
ABCB6	4.8562723600708	4.9939627721378	4.5374427522078	5.1555312297778	4.0788945176008005	4.8684098169282	4.88765733859547	5.2296188304038	4.9607208478859	4.6007915350358	4.8024344353391	4.3038644396428	4.8173173429361	5.3737047137698	4.9320230873157	4.5073115000568	4.9603914609164	4.879532580725101	5.2114979522458	4.5468009660107995	4.879532580725101	5.2923055927098
ABCB7	4.92635547685694	5.4017180869638	5.0535093493618	4.92635547685694	4.2977200000258	5.3119024949178	4.6732873891168	5.1019038164388	5.5982596500208	4.92635547685694	4.4423923678318005	4.9592453961523	5.1272185561998	4.92635547685694	4.7493884369058	5.1633710961748	5.5355919231228	5.3605302107018	4.6933372325498	4.6224723048338	5.4183867583078005	4.92635547685694
ABCB8	5.0297205906718	5.3127735550878	4.902056457833143	4.4629433412578	4.9633694594451	4.89457782049395	4.9907757242618	4.5031895733418	4.8238481294094	4.902056457833143	4.902056457833143	5.3373450328538	4.6173741235298	5.5728157399658	4.902056457833143	5.0696364925458	5.1646844552108	4.7229182704618005	4.902056457833143	4.8174481518448005	4.902056457833143	4.902056457833143
ABCC1	5.2063486093888	4.6748657220718	4.9430243407382	4.7827767389578	4.750676960345238	5.0884018781558	4.7013751097128	4.8099319051834	4.6102473113928	4.6297315194178	4.750676960345238	4.9099586357383	4.3276419681718	5.3993196954258	4.9004508832282	5.0712432800778	4.5170015889558	4.7064040822158	4.750676960345238	5.1145665516638	4.7251751219248	4.88481363490157
ABCC3	5.4411328277557995	4.7319657177548	4.862194555118	4.7429225040468	5.3730816618018	5.3395700094798	5.0066014323328				4.6160268100818005	4.8623072647891	4.8574455441293	5.3518603674588	5.1434848970448				4.8473353819918	5.1115354698158		4.9177177294782
ABCC4	4.874856294367446	5.4050295202497995	4.874856294367446	4.4915565350678	5.4054538411908	4.9255357671149	6.0199246562368	4.3906313472548	3.8907650348968	4.4151290819588	4.0993587350938	5.0932105927288	5.4766159316348	4.874856294367446	4.4984912461418	4.874856294367446	4.6702026782698	4.88803376104611	3.8559197851268	4.6395894920418	4.874856294367446	5.0736153776148
